8:11:43 AM | Info | 'Socket setup successful' | 
8:11:43 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:24:11 AM | Info | 'Socket setup successful' | 
11:24:11 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:29:30 AM | Info | 'Socket setup successful' | 
11:29:30 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:32:36 AM | Info | 'Socket setup successful' | 
11:32:36 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:32:42 AM | Info | 'Socket setup successful' | 
11:32:42 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:33:20 AM | Info | 'Socket setup successful' | 
11:33:20 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:33:26 AM | Info | 'Socket setup successful' | 
11:33:26 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:37:34 AM | Info | 'Socket setup successful' | 
11:37:34 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:52:53 AM | Info | 'Socket setup successful' | 
11:52:53 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:55:55 AM | Info | 'Socket setup successful' | 
11:55:55 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:56:47 AM | Info | 'Socket setup successful' | 
11:56:47 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:57:52 AM | Info | 'Socket setup successful' | 
11:57:52 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:00:13 PM | Info | 'Socket setup successful' | 
12:00:13 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:00:51 PM | Info | 'Socket setup successful' | 
12:00:51 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:03:27 PM | Info | 'Socket setup successful' | 
12:03:27 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:17:02 PM | Info | 'Socket setup successful' | 
12:17:02 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:26:00 PM | Info | 'Socket setup successful' | 
12:26:00 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:26:12 PM | Info | 'Socket setup successful' | 
12:26:12 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:27:18 PM | Info | 'Socket setup successful' | 
12:27:18 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:27:27 PM | Info | 'Socket setup successful' | 
12:27:27 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:27:37 PM | Info | 'Socket setup successful' | 
12:27:37 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:29:05 PM | Info | 'Socket setup successful' | 
12:29:05 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:31:52 PM | Info | 'Socket setup successful' | 
12:31:52 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:32:05 PM | Info | 'Socket setup successful' | 
12:32:05 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:36:49 PM | Error | 'Unable to connect to db' | Service: TypeError: connectToMongoose is not a function | 
12:36:49 PM | Info | 'Socket setup successful' | 
12:36:49 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:37:25 PM | Error | 'Unable to connect to db' | Service: TypeError: connectToMongoose is not a function | 
12:37:25 PM | Info | 'Socket setup successful' | 
12:37:25 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:40:00 PM | Info | 'Connected to db' | 
12:40:00 PM | Info | 'Socket setup successful' | 
12:40:00 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:41:51 PM | Info | 'Connected to db' | 
12:41:51 PM | Info | 'Socket setup successful' | 
